Rank,Name,ADP,Pos
1.0,Ja'Marr Chase,1.5,WR
2.0,Bijan Robinson,2.8,RB
3.0,Saquon Barkley,3.6,RB
4.0,Justin Jefferson,4.9,WR
5.0,Jahmyr Gibbs,5.2,RB
6.0,CeeDee Lamb,6.8,WR
7.0,Christian McCaffrey,7.9,RB
8.0,Puka Nacua,10.2,WR
9.0,Amon-Ra St. Brown,10.4,WR
10.0,Malik Nabers,11.8,WR
11.0,Ashton Jeanty,12.2,RB
12.0,Derrick Henry,14.8,RB
13.0,Nico Collins,15.2,WR
14.0,De'Von Achane,16.6,RB
15.0,Jonathan Taylor,18.7,RB
16.0,Brian Thomas Jr.,18.7,WR
17.0,A.J. Brown,19.3,WR
18.0,Josh Jacobs,19.5,RB
19.0,Josh Allen,20.6,QB
20.0,Brock Bowers,21.1,TE
21.0,Drake London,21.9,WR
22.0,Bucky Irving,23.9,RB
23.0,Lamar Jackson,24.1,QB
24.0,Chase Brown,26.2,RB
25.0,Trey McBride,27.0,TE
26.0,Tee Higgins,27.9,WR
27.0,Jayden Daniels,28.3,QB
28.0,Jalen Hurts,29.5,QB
29.0,Ladd McConkey,30.5,WR
30.0,Kyren Williams,30.9,RB
31.0,Tyreek Hill,31.2,WR
32.0,James Cook,32.6,RB
33.0,Joe Burrow,33.9,QB
34.0,Davante Adams,35.4,WR
35.0,George Kittle,36.7,TE
36.0,Jaxon Smith-Njigba,38.9,WR
37.0,Terry McLaurin,39.4,WR
38.0,Alvin Kamara,40.3,RB
39.0,Omarion Hampton,41.4,RB
40.0,Mike Evans,45.3,WR
41.0,Garrett Wilson,45.8,WR
42.0,Chuba Hubbard,46.2,RB
43.0,Kenneth Walker III,47.5,RB
44.0,Patrick Mahomes,47.9,QB
45.0,Marvin Harrison Jr.,49.6,WR
46.0,Sam LaPorta,49.8,TE
47.0,DK Metcalf,50.0,WR
48.0,James Conner,50.5,RB
49.0,Xavier Worthy,50.9,WR
50.0,TreVeyon Henderson,50.9,RB
51.0,Breece Hall,56.6,RB
52.0,Baker Mayfield,57.5,QB
53.0,DJ Moore,59.6,WR
54.0,D'Andre Swift,60.2,RB
55.0,Zay Flowers,60.7,WR
56.0,T.J. Hockenson,62.0,TE
57.0,Travis Kelce,63.7,TE
58.0,Courtland Sutton,63.9,WR
59.0,Rashee Rice,65.9,WR
60.0,David Montgomery,65.9,RB
61.0,Calvin Ridley,70.9,WR
62.0,DeVonta Smith,71.5,WR
63.0,George Pickens,73.5,WR
64.0,Isiah Pacheco,73.6,RB
65.0,Jaylen Waddle,73.7,WR
66.0,Jerry Jeudy,74.3,WR
67.0,Jameson Williams,74.4,WR
68.0,Bo Nix,74.5,QB
69.0,Aaron Jones Sr.,75.6,RB
70.0,David Njoku,78.4,TE
71.0,Mark Andrews,79.7,TE
72.0,Tony Pollard,80.1,RB
73.0,Travis Hunter,81.0,WR
74.0,Tetairoa McMillan,82.7,WR
75.0,RJ Harvey,82.8,RB
76.0,Rome Odunze,84.4,WR
77.0,Kyler Murray,87.6,QB
78.0,Evan Engram,88.6,TE
79.0,Brock Purdy,89.8,QB
80.0,Cooper Kupp,92.2,WR
81.0,Tyrone Tracy Jr.,92.7,RB
82.0,Jakobi Meyers,92.7,WR
83.0,Matthew Golden,93.5,WR
84.0,Chris Olave,96.4,WR
85.0,Jaylen Warren,98.4,RB
86.0,Stefon Diggs,98.6,WR
87.0,Tyler Warren,101.0,TE
88.0,Joe Mixon,101.1,RB
89.0,Chris Godwin,101.7,WR
91.0,Justin Herbert,102.2,QB
92.0,Michael Pittman Jr.,103.1,WR
93.0,Kaleb Johnson,104.3,RB
95.0,Emeka Egbuka,105.5,WR
96.0,Deebo Samuel,105.8,WR
98.0,Jacory Croskey-Merritt,109.4,RB
99.0,J.K. Dobbins,110.1,RB
100.0,Austin Ekeler,110.2,RB
101.0,Dak Prescott,110.6,QB
103.0,Ricky Pearsall,114.5,WR
105.0,Khalil Shakir,117.1,WR
106.0,Javonte Williams,117.6,RB
107.0,Tucker Kraft,118.3,TE
108.0,Caleb Williams,119.1,QB
109.0,Jordan Addison,119.1,WR
110.0,Colston Loveland,120.1,TE
111.0,Rhamondre Stevenson,120.3,RB
113.0,Keon Coleman,121.3,WR
115.0,Jauan Jennings,122.5,WR
116.0,Justin Fields,123.6,QB
117.0,Cam Skattebo,123.7,RB
118.0,Travis Etienne Jr.,123.8,RB
119.0,Jared Goff,124.8,QB
122.0,Quinshon Judkins,127.1,RB
123.0,Keenan Allen,127.1,WR
125.0,Jayden Reed,134.8,WR
126.0,Dalton Kincaid,134.9,TE
127.0,Jordan Mason,135.7,RB
128.0,Dallas Goedert,137.0,TE
129.0,Tank Bigsby,137.1,RB
130.0,Rashid Shaheed,137.3,WR
131.0,Drake Maye,137.9,QB
132.0,Jake Ferguson,138.8,TE
133.0,J.J. McCarthy,139.0,QB
134.0,Jordan Love,139.8,QB
137.0,Darnell Mooney,140.5,WR
138.0,Kyle Pitts Sr.,140.6,TE
139.0,Jayden Higgins,140.8,WR
140.0,Josh Downs,140.9,WR
141.0,C.J. Stroud,141.2,QB
142.0,Zach Charbonnet,142.2,RB
144.0,Tyjae Spears,144.5,RB
147.0,Rachaad White,149.6,RB
150.0,Brian Robinson Jr.,151.4,RB
151.0,Nick Chubb,151.9,RB
153.0,Adam Thielen,152.2,WR
155.0,Trey Benson,154.8,RB
156.0,Hunter Henry,157.0,TE
157.0,Zach Ertz,157.2,TE
158.0,Jaydon Blue,157.3,RB
159.0,Xavier Legette,157.7,WR
161.0,Braelon Allen,159.0,RB
162.0,Brandon Aiyuk,159.4,WR
163.0,Tua Tagovailoa,160.4,QB
164.0,Tyler Allgeier,160.5,RB
165.0,Matthew Stafford,161.5,QB
166.0,Marvin Mims Jr.,161.6,WR
167.0,Jerome Ford,162.1,RB
168.0,Trevor Lawrence,163.0,QB
169.0,Cedric Tillman,163.5,WR
170.0,Najee Harris,163.7,RB
171.0,Cam Ward,163.9,QB
172.0,Hollywood Brown,164.0,WR
173.0,Jaylen Wright,165.6,RB
174.0,Michael Penix Jr.,166.1,QB
175.0,Wan'Dale Robinson,166.2,WR
176.0,Rashod Bateman,166.2,WR
177.0,Christian Kirk,166.2,WR
179.0,Darren Waller,166.5,TE
181.0,Jonnu Smith,166.8,TE
186.0,Luther Burden III,167.3,WR
187.0,Cade Otton,167.6,TE
189.0,Bryce Young,168.0,QB
192.0,Aaron Rodgers,168.2,QB
195.0,Ray Davis,168.6,RB
197.0,Bhayshul Tuten,168.7,RB
198.0,Pat Freiermuth,168.8,TE
199.0,Isaiah Likely,168.8,TE
200.0,Sam Darnold,168.8,QB
